PropertyID,PropertyName,PropertyType,Bedrooms,Bathrooms,AreaSqFt,ConstructionYear,Status,LocationID
P413,Sapphire Towers 740,Commercial Office,0,0,3275,2024,Sold,L006
P414,Urban Nest 389,Villa,5,4,3809,2015,Available,L010
P415,Silver Oak 769,Plot,0,0,1485,2022,Available,L007
P416,Urban Nest 548,Independent House,3,2,3033,2018,Available,L007
P417,Prime Heights 913,Villa,5,4,4002,2018,Sold,L001
P418,Skyline Heights 792,Apartment,3,3,773,2016,Available,L002
P419,Urban Nest 976,Apartment,2,2,703,2020,Available,L006
P420,Silver Oak 114,Apartment,2,2,1750,2020,Rented,L010
P421,Sapphire Towers 950,Commercial Office,0,0,1611,2015,Rented,L001
P422,Green Valley 108,Villa,4,3,3187,2017,Available,L008
P423,Green Valley 302,Apartment,1,1,794,2015,Available,L003
P424,Skyline Heights 519,Apartment,3,3,1417,2019,Sold,L008
P425,Orchid Homes 632,Apartment,1,1,1172,2024,Sold,L010
P426,Orchid Homes 297,Villa,3,2,4145,2016,Rented,L005
P427,Lake View 857,Plot,0,0,6546,2021,Rented,L004
P428,Urban Nest 267,Commercial Office,0,0,2558,2025,Rented,L003
P429,Urban Nest 365,Commercial Office,0,0,2231,2023,Available,L007
P430,Lake View 366,Independent House,4,3,1834,2023,Rented,L002
P431,Orchid Homes 940,Apartment,3,3,1394,2024,Rented,L002
P432,Palm Residency 995,Independent House,2,2,1837,2016,Available,L007
P433,Orchid Homes 425,Commercial Office,0,0,3602,2019,Sold,L006
P434,Orchid Homes 258,Commercial Office,0,0,1429,2017,Available,L010
P435,Skyline Heights 840,Plot,0,0,2121,2023,Sold,L007
P436,Orchid Homes 126,Villa,6,5,3015,2015,Available,L008
P437,Sapphire Towers 524,Commercial Office,0,0,1996,2025,Sold,L010
P438,Urban Nest 335,Commercial Office,0,0,3775,2017,Sold,L005
P439,Palm Residency 655,Villa,3,2,3154,2016,Rented,L006
P440,Sapphire Towers 162,Commercial Office,0,0,5992,2018,Sold,L007
P441,Palm Residency 312,Independent House,2,2,1984,2025,Sold,L001
P442,Orchid Homes 173,Commercial Office,0,0,1333,2024,Available,L009
P443,Green Valley 300,Independent House,5,4,3188,2015,Available,L006
P444,Skyline Heights 570,Villa,4,3,2482,2024,Rented,L006
P445,Silver Oak 543,Commercial Office,0,0,5141,2020,Rented,L009
P446,Green Valley 720,Independent House,4,3,2950,2020,Sold,L002
P447,Sapphire Towers 825,Independent House,5,4,1922,2018,Rented,L003
P448,Green Valley 726,Independent House,2,2,1364,2026,Rented,L007
P449,Lake View 272,Apartment,3,3,871,2025,Rented,L007
P450,Sapphire Towers 881,Independent House,5,4,3124,2021,Available,L006
P451,Green Valley 537,Villa,3,2,3389,2021,Rented,L001
P452,Orchid Homes 562,Villa,5,4,3764,2017,Rented,L010
P453,Skyline Heights 482,Plot,0,0,3883,2016,Available,L007
P454,Skyline Heights 178,Commercial Office,0,0,2512,2018,Sold,L001
P455,Elite Towers 935,Commercial Office,0,0,5546,2026,Available,L001
P456,Skyline Heights 913,Commercial Office,0,0,2271,2015,Sold,L007
P457,Sapphire Towers 830,Independent House,5,4,2677,2022,Available,L002
P458,Urban Nest 121,Plot,0,0,6833,2018,Rented,L002
P459,Lake View 504,Commercial Office,0,0,4194,2021,Rented,L004
P460,Lake View 564,Villa,5,4,4920,2017,Sold,L006
P461,Silver Oak 751,Commercial Office,0,0,4859,2019,Rented,L010
P462,Silver Oak 357,Villa,5,4,2338,2020,Available,L003
P463,Orchid Homes 896,Independent House,2,2,1546,2021,Rented,L009
P464,Silver Oak 686,Villa,3,2,3142,2018,Rented,L010
P465,Skyline Heights 972,Commercial Office,0,0,5027,2018,Rented,L010
P466,Green Valley 189,Plot,0,0,5182,2020,Rented,L006
P467,Urban Nest 957,Independent House,5,4,1428,2022,Available,L006
P468,Silver Oak 594,Apartment,1,1,923,2024,Available,L004
P469,Elite Towers 604,Villa,5,4,2945,2019,Rented,L006
P470,Lake View 901,Villa,6,5,3777,2022,Rented,L007
P471,Orchid Homes 707,Villa,3,2,3021,2023,Rented,L009
P472,Silver Oak 132,Plot,0,0,6609,2017,Available,L007
P473,Urban Nest 192,Apartment,1,1,1797,2020,Available,L009
P474,Sapphire Towers 217,Villa,3,2,3184,2024,Sold,L004
P475,Orchid Homes 941,Apartment,3,3,1014,2026,Sold,L005
P476,Silver Oak 385,Commercial Office,0,0,5298,2024,Available,L004
P477,Sapphire Towers 478,Independent House,2,2,2961,2015,Rented,L003
P478,Skyline Heights 175,Apartment,1,1,829,2021,Rented,L009
P479,Sapphire Towers 944,Plot,0,0,5044,2019,Rented,L001
P480,Lake View 267,Apartment,1,1,912,2020,Available,L005
P481,Palm Residency 587,Plot,0,0,4297,2018,Available,L009
P482,Skyline Heights 611,Independent House,3,2,2781,2016,Rented,L007
P483,Sapphire Towers 500,Commercial Office,0,0,4378,2015,Available,L006
P484,Skyline Heights 575,Plot,0,0,3169,2021,Sold,L002
P485,Urban Nest 482,Commercial Office,0,0,3992,2016,Rented,L009
P486,Green Valley 813,Villa,3,2,4260,2023,Sold,L008
P487,Elite Towers 586,Commercial Office,0,0,2251,2020,Available,L002
P488,Silver Oak 838,Apartment,3,3,1491,2026,Sold,L006
P489,Palm Residency 425,Villa,5,4,4768,2022,Rented,L003
P490,Sapphire Towers 378,Independent House,3,2,1522,2022,Available,L002
P491,Urban Nest 512,Plot,0,0,3059,2026,Available,L001
P492,Palm Residency 202,Commercial Office,0,0,1966,2025,Sold,L002
P493,Prime Heights 319,Apartment,1,1,1379,2022,Available,L004
P494,Silver Oak 721,Plot,0,0,6844,2023,Rented,L007
P495,Silver Oak 124,Villa,6,5,3772,2015,Rented,L009
P496,Skyline Heights 939,Independent House,3,2,2527,2016,Rented,L009
P497,Elite Towers 643,Plot,0,0,4456,2022,Rented,L009
P498,Palm Residency 397,Plot,0,0,4915,2017,Available,L002
P499,Prime Heights 150,Plot,0,0,3863,2017,Sold,L004
P500,Orchid Homes 440,Independent House,2,2,1436,2026,Available,L002
